city,year,arrests,population
"Rochester, New York",1884,NA,107178
"Richmond, Virginia",1884,4625,70715
"New Haven, Connecticut",1884,5976,72147
"Lowell, Massachusetts",1884,3332,66763
"New York, New York",1885,74315,1360800
"Philadelphia, Pennsylvania",1885,51418,947067
"Brooklyn, New York",1885,27391,686503
"Chicago, Illinois",1885,40998,801518
"Boston, Massachusetts",1885,28932,405658
"St. Louis, Missouri",1885,19330,401144
"Baltimore, Maryland",1885,26804,383376
"Cincinnati, Ohio",1885,8039,276024
"San Francisco, California",1885,24434,266478
"Cleveland, Ohio",1885,6882,210750
"Buffalo, New York",1885,10980,205399
"Washington, DC",1885,23225,168172
"Newark, New Jersey",1885,5263,158769
"Louisville, Kentucky",1885,7497,142443
"Detroit, Michigan",1885,7708,161108
"Milwaukee, Wisconsin",1885,3597,160027
"Providence, Rhode Island",1885,6178,118502
"Rochester, New York",1885,NA,111631
"Richmond, Virginia",1885,4634,72494
"New Haven, Connecticut",1885,5642,74464
"Lowell, Massachusetts",1885,2771,68585
"New York, New York",1886,73928,1391700
"Philadelphia, Pennsylvania",1886,NA,967046
"Brooklyn, New York",1886,25709,710471
"Chicago, Illinois",1886,44261,NA
"Boston, Massachusetts",1886,28510,414222
"St. Louis, Missouri",1886,18851,411270
"Baltimore, Maryland",1886,27200,393589
"Cincinnati, Ohio",1886,17660,280200
"San Francisco, California",1886,26587,272882
"Cleveland, Ohio",1886,6732,220870
"Buffalo, New York",1886,9544,215452
"Washington, DC",1886,22388,172276
"Newark, New Jersey",1886,5366,163221
"Louisville, Kentucky",1886,6893,146180
"Detroit, Michigan",1886,8187,170062
"Milwaukee, Wisconsin",1886,3726,168915
"Providence, Rhode Island",1886,5337,121230
"Rochester, New York",1886,NA,116084
"Richmond, Virginia",1886,5052,74273
"New Haven, Connecticut",1886,5802,76780
"Lowell, Massachusetts",1886,3393,70407
"New York, New York",1887,81176,1422600
"Philadelphia, Pennsylvania",1887,57944,987026
"Brooklyn, New York",1887,28567,734439
"Chicago, Illinois",1887,46505,920850
"Boston, Massachusetts",1887,30681,422786
"St. Louis, Missouri",1887,19046,421395
"Baltimore, Maryland",1887,29538,403801
"Cincinnati, Ohio",1887,19554,284377
"San Francisco, California",1887,20385,279486
"New Orleans, Louisiana",1887,16800,228522
"Cleveland, Ohio",1887,8588,230991
"Buffalo, New York",1887,12404,225505
"Washington, DC",1887,19975,176440
"Newark, New Jersey",1887,6294,167673
"Louisville, Kentucky",1887,6857,149917
"Detroit, Michigan",1887,9400,179015
"Milwaukee, Wisconsin",1887,3726,177803
"Providence, Rhode Island",1887,5151,123959
"Rochester, New York",1887,4014,120537
"Pittsburgh, Pennsylvania",1887,9572,213948
"Richmond, Virginia",1887,5963,76052
"New Haven, Connecticut",1887,5941,79096
"Lowell, Massachusetts",1887,3484,72229
"New York, New York",1888,85094,1453500
"Philadelphia, Pennsylvania",1888,46899,1007005
"Brooklyn, New York",1888,31124,758407
"Chicago, Illinois",1888,50432,980517
"Boston, Massachusetts",1888,36009,431349
"St. Louis, Missouri",1888,17938,431521
"Baltimore, Maryland",1888,29789,414014
"Cincinnati, Ohio",1888,19889,288554
"San Francisco, California",1888,19466,285989
"New Orleans, Louisiana",1888,NA,NA
"Cleveland, Ohio",1888,8737,241112
"Buffalo, New York",1888,NA,235558
"Washington, DC",1888,20530,180604
"Newark, New Jersey",1888,NA,1172156
"Louisville, Kentucky",1888,4193,153654
"Detroit, Michigan",1888,9142,187969
"Milwaukee, Wisconsin",1888,4401,186691
"Providence, Rhode Island",1888,5930,126688
"Rochester, New York",1888,NA,124990
"Pittsburgh, Pennsylvania",1888,10423,222171
"Richmond, Virginia",1888,6290,77830
"New Haven, Connecticut",1888,6149,81412
"Lowell, Massachusetts",1888,4150,74051
"New York, New York",1889,82200,1484400
"Philadelphia, Pennsylvania",1889,42673,1026985
"Brooklyn, New York",1889,34631,782375
"Chicago, Illinois",1889,48119,1040184
"Boston, Massachusetts",1889,40066,439913
"St. Louis, Missouri",1889,17987,441646
"Baltimore, Maryland",1889,31420,424226
"Cincinnati, Ohio",1889,19080,292731
"San Francisco, California",1889,23462,292493
"New Orleans, Louisiana",1889,NA,NA
"Cleveland, Ohio",1889,10377,251232
"Buffalo, New York",1889,16170,245611
"Washington, DC",1889,21150,189768
"Newark, New Jersey",1889,7008,176578
"Louisville, Kentucky",1889,6964,157391
"Detroit, Michigan",1889,8746,196922
"Milwaukee, Wisconsin",1889,4624,195579
"Providence, Rhode Island",1889,6446,129417
"Rochester, New York",1889,NA,129443
"Pittsburgh, Pennsylvania",1889,14299,230394
"Richmond, Virginia",1889,6901,79609
"New Haven, Connecticut",1889,6191,83729
"Lowell, Massachusetts",1889,4557,75873
"New York, New York",1890,84556,1515301
"Philadelphia, Pennsylvania",1890,49148,1046964
"Brooklyn, New York",1890,38314,806343
"Chicago, Illinois",1890,62230,1099850
"Boston, Massachusetts",1890,37492,448477
"St. Louis, Missouri",1890,19724,451770
"Baltimore, Maryland",1890,30730,434439
"Cincinnati, Ohio",1890,19849,296908
"San Francisco, California",1890,23549,298997
"New Orleans, Louisiana",1890,NA,NA
"Cleveland, Ohio",1890,9616,261353
"Buffalo, New York",1890,17628,255664
"Washington, DC",1890,24372,188932
"Newark, New Jersey",1890,7041,181030
"Louisville, Kentucky",1890,6621,161129
"Detroit, Michigan",1890,8693,205876
"Milwaukee, Wisconsin",1890,5445,204468
"Providence, Rhode Island",1890,6590,132146
"Rochester, New York",1890,NA,133896
"Pittsburgh, Pennsylvania",1890,19906,238617
"Richmond, Virginia",1890,6570,81388
"New Haven, Connecticut",1890,5869,86045
"Lowell, Massachusetts",1890,3846,77696
"New York, New York",1891,90124,1568830
"Philadelphia, Pennsylvania",1891,53184,1071637
"Brooklyn, New York",1891,37319,842637
"Chicago, Illinois",1891,70550,1159722
"Boston, Massachusetts",1891,41132,459718
"St. Louis, Missouri",1891,20729,464117
"Baltimore, Maryland",1891,30215,441891
"Cincinnati, Ohio",1891,18632,299807
"San Francisco, California",1891,24528,303376
"New Orleans, Louisiana",1891,22449,246546
"Cleveland, Ohio",1891,11133,273394
"Buffalo, New York",1891,NA,265336
"Washington, DC",1891,25166,197911
"Newark, New Jersey",1891,7470,187534
"Louisville, Kentucky",1891,6938,165489
"Detroit, Michigan",1891,8720,213859
"Milwaukee, Wisconsin",1891,5615,212553
"Providence, Rhode Island",1891,6900,136491
"Rochester, New York",1891,NA,136767
"Pittsburgh, Pennsylvania",1891,21801,246847
"Richmond, Virginia",1891,6810,81754
"New Haven, Connecticut",1891,6000,88243
"Lowell, Massachusetts",1891,5357,79423
"New York, New York",1892,84498,1622360
"Philadelphia, Pennsylvania",1892,52944,1096311
"Brooklyn, New York",1892,39856,878391
"Chicago, Illinois",1892,89833,1219595
"Boston, Massachusetts",1892,48463,470960
"St. Louis, Missouri",1892,22935,476464
"Baltimore, Maryland",1892,31781,449343
"Cincinnati, Ohio",1892,20674,302707
"San Francisco, California",1892,29259,307754
"New Orleans, Louisiana",1892,21822,251052
"Cleveland, Ohio",1892,10717,285436
"Buffalo, New York",1892,NA,275009
"Washington, DC",1892,26666,206889
"Newark, New Jersey",1892,7040,194038
"Louisville, Kentucky",1892,7133,170849
"Detroit, Michigan",1892,7769,221842
"Milwaukee, Wisconsin",1892,6610,220637
"Providence, Rhode Island",1892,6812,140836
"Rochester, New York",1892,NA,139638
"Pittsburgh, Pennsylvania",1892,16340,255077
"Richmond, Virginia",1892,6540,82120
"New Haven, Connecticut",1892,6285,90441
"Lowell, Massachusetts",1892,6153,81151
