"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06"
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-19",,,,"0.00","0.0","0.0","74","62","73",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-20",,,,"0.00","0.0","0.0","79","51","79",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-21",,,,"0.02","0.0","0.0","81","56","79",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-22",,,,"0.20","0.0","0.0","84","64","73",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-23",,,,"0.28","0.0","0.0","78","59","78",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-24",,,,"0.00","0.0","0.0","87","51","62",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-25",,,,"0.13","0.0","0.0","84","59","65",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-26",,,,"0.00","0.0","0.0","87","65","69",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-27",,,,"0.10","0.0","0.0",,,,,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-28",,,,"0.00","0.0","0.0",,,,,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-29",,,,"0.00","0.0","0.0","80","71","72",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-30",,,,"0.10","0.0","0.0","75","58","71",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-01",,,,"0.00","0.0","0.0","86","54","65",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-02",,,,"0.00","0.0","0.0","83","58","68",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-03",,,,"0.04","0.0","0.0","82","68","74",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-04",,,,"0.19","0.0","0.0","82","62","68",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-05",,,,"0.00","0.0","0.0","76","59","74",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-06",,,,"0.02","0.0","0.0","76","50","68",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-07",,,,"0.01","0.0","0.0","72","49","69",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-08",,,,"0.00","0.0","0.0","78","46","59",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-09",,,,"0.00","0.0","0.0","75","55","60",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-10",,,,"0.86","0.0","0.0","81","60","79",,,,,
